features,sing,num,l1,l2,acc,auc
80,100,1,True,True,0.7624999880790709,0.7545638945233266
80,100,2,True,True,0.6499999761581421,0.6439393939393938
80,100,3,True,True,0.6499999761581421,0.6360677083333333
80,100,4,True,True,0.7624999880790709,0.7788523533204385
80,100,5,True,True,0.675000011920929,0.7030048916841369
80,100,6,True,True,0.7124999761581421,0.7793333333333334
80,100,7,True,True,0.7749999761581421,0.8117182356813695
80,100,8,True,True,0.612500011920929,0.6374603174603175
80,100,9,True,True,0.7624999880790709,0.8246292714377821
80,100,10,True,True,0.637499988079071,0.679245283018868
80,100,11,True,True,0.7250000238418579,0.7923920051579626
80,100,12,True,True,0.7250000238418579,0.7356770833333334
80,100,13,True,True,0.6625000238418579,0.7167004732927654
80,100,14,True,True,0.75,0.8152380952380952
80,100,15,True,True,0.675000011920929,0.7465437788018434
80,100,16,True,True,0.612500011920929,0.5885450954575379
80,100,17,True,True,0.699999988079071,0.7408854166666667
80,100,18,True,True,0.637499988079071,0.7573333333333334
80,100,19,True,True,0.612500011920929,0.6304945054945055
80,100,20,True,True,0.675000011920929,0.7141943734015346
80,100,21,True,True,0.6499999761581421,0.6685606060606061
80,100,22,True,True,0.75,0.8167680865449628
80,100,23,True,True,0.7250000238418579,0.7853333333333333
80,100,24,True,True,0.6875,0.7428774928774928
80,100,25,True,True,0.6875,0.7466666666666667
80,100,26,True,True,0.6000000238418579,0.6484962406015038
80,100,27,True,True,0.6499999761581421,0.6631049654305468
80,100,28,True,True,0.7375000119209291,0.7506510416666667
80,100,29,True,True,0.7250000238418579,0.70076726342711
80,100,30,True,True,0.7624999880790709,0.7883631713554987
80,100,31,True,True,0.699999988079071,0.7935606060606061
80,100,32,True,True,0.6625000238418579,0.8006349206349207
80,100,33,True,True,0.6625000238418579,0.7485187623436471
80,100,34,True,True,0.6875,0.6346726190476191
80,100,35,True,True,0.6499999761581421,0.6940000000000001
80,100,36,True,True,0.6875,0.7399749373433584
80,100,37,True,True,0.6499999761581421,0.6079948420373953
80,100,38,True,True,0.612500011920929,0.6714944042132982
80,100,39,True,True,0.75,0.8158390949088623
80,100,40,True,True,0.7375000119209291,0.7966751918158568
80,100,41,True,True,0.5874999761581421,0.6566604127579736
80,100,42,True,True,0.7375000119209291,0.7676190476190476
80,100,43,True,True,0.7749999761581421,0.8567272727272728
80,100,44,True,True,0.8125,0.8260317460317459
80,100,45,True,True,0.699999988079071,0.7545572916666666
80,100,46,True,True,0.7124999761581421,0.7676190476190476
80,100,47,True,True,0.699999988079071,0.7655562539283469
80,100,48,True,True,0.6499999761581421,0.6806318681318682
80,100,49,True,True,0.6499999761581421,0.7026666666666667
80,100,50,True,True,0.7624999880790709,0.7580952380952382
120,100,1,True,True,0.7749999761581421,0.8788676761026991
120,100,2,True,True,0.699999988079071,0.6417378917378918
120,100,3,True,True,0.5625,0.7917460317460318
120,100,4,True,True,0.6625000238418579,0.7358730158730159
120,100,5,True,True,0.5625,0.7603174603174603
120,100,6,True,True,0.675000011920929,0.6866096866096867
120,100,7,True,True,0.7124999761581421,0.736842105263158
120,100,8,True,True,0.699999988079071,0.7440361057382334
120,100,9,True,True,0.7624999880790709,0.8248816768086545
120,100,10,True,True,0.6875,0.6321614583333334
120,100,11,True,True,0.75,0.8350803633822501
120,100,12,True,True,0.7124999761581421,0.7434920634920634
120,100,13,True,True,0.7749999761581421,0.7819010416666666
120,100,14,True,True,0.7875000238418579,0.8571428571428571
120,100,15,True,True,0.6000000238418579,0.64453125
120,100,16,True,True,0.675000011920929,0.7038539553752535
120,100,17,True,True,0.6625000238418579,0.7053333333333334
120,100,18,True,True,0.7375000119209291,0.7820760799484203
120,100,19,True,True,0.7250000238418579,0.7623697916666667
120,100,20,True,True,0.7875000238418579,0.7930367504835589
120,100,21,True,True,0.675000011920929,0.6937459703417149
120,100,22,True,True,0.5874999761581421,0.6391494684177612
120,100,23,True,True,0.699999988079071,0.787109375
120,100,24,True,True,0.7375000119209291,0.7781435154707045
120,100,25,True,True,0.5625,0.7707936507936508
120,100,26,True,True,0.6625000238418579,0.7252604166666667
120,100,27,True,True,0.7375000119209291,0.7733333333333333
120,100,28,True,True,0.6000000238418579,0.6354494028912634
120,100,29,True,True,0.675000011920929,0.7083333333333333
120,100,30,True,True,0.6625000238418579,0.68359375
120,100,31,True,True,0.7624999880790709,0.8404947916666667
120,100,32,True,True,0.7250000238418579,0.7446666666666667
120,100,33,True,True,0.7375000119209291,0.8106828938471942
120,100,34,True,True,0.675000011920929,0.6978021978021978
120,100,35,True,True,0.625,0.6385780118499012
120,100,36,True,True,0.7250000238418579,0.7567229518449029
120,100,37,True,True,0.7875000238418579,0.8593333333333333
120,100,38,True,True,0.6499999761581421,0.7305764411027569
120,100,39,True,True,0.699999988079071,0.7126436781609196
120,100,40,True,True,0.675000011920929,0.7649769585253456
120,100,41,True,True,0.625,0.685546875
120,100,42,True,True,0.675000011920929,0.7186700767263428
120,100,43,True,True,0.625,0.6655694535878868
120,100,44,True,True,0.6875,0.6859999999999999
120,100,45,True,True,0.625,0.71875
120,100,46,True,True,0.675000011920929,0.6896551724137931
120,100,47,True,True,0.7375000119209291,0.7752380952380953
120,100,48,True,True,0.699999988079071,0.698005698005698
120,100,49,True,True,0.7124999761581421,0.7252604166666667
120,100,50,True,True,0.7250000238418579,0.7846550612508059
160,100,1,True,True,0.7124999761581421,0.7779862414008756
160,100,2,True,True,0.7250000238418579,0.7545572916666667
160,100,3,True,True,0.7624999880790709,0.81265664160401
160,100,4,True,True,0.625,0.6603028308097433
160,100,5,True,True,0.7124999761581421,0.7818181818181817
160,100,6,True,True,0.7250000238418579,0.7960858585858586
160,100,7,True,True,0.7250000238418579,0.80083857442348
160,100,8,True,True,0.699999988079071,0.7587301587301587
160,100,9,True,True,0.7124999761581421,0.7556415215989685
160,100,10,True,True,0.7624999880790709,0.8588007736943907
160,100,11,True,True,0.6499999761581421,0.7491548343475319
160,100,12,True,True,0.7624999880790709,0.7222222222222222
160,100,13,True,True,0.7124999761581421,0.7762733720180529
160,100,14,True,True,0.8374999761581421,0.8606770833333334
160,100,15,True,True,0.75,0.7873015873015872
160,100,16,True,True,0.7375000119209291,0.8347578347578347
160,100,17,True,True,0.7250000238418579,0.7775524002704529
160,100,18,True,True,0.7250000238418579,0.7766927083333333
160,100,19,True,True,0.7749999761581421,0.8207607994842038
160,100,20,True,True,0.6625000238418579,0.6910074374577417
160,100,21,True,True,0.7749999761581421,0.8465473145780051
160,100,22,True,True,0.612500011920929,0.7978933508887427
160,100,23,True,True,0.6875,0.7348484848484849
160,100,24,True,True,0.7749999761581421,0.7768762677484786
160,100,25,True,True,0.75,0.8101503759398496
160,100,26,True,True,0.637499988079071,0.6656191074795725
160,100,27,True,True,0.675000011920929,0.7406188281764319
160,100,28,True,True,0.7375000119209291,0.7044270833333333
160,100,29,True,True,0.8000000119209291,0.8607167004732927
160,100,30,True,True,0.637499988079071,0.748046875
160,100,31,True,True,0.8000000119209291,0.8980654761904762
160,100,32,True,True,0.7875000238418579,0.8542875564152159
160,100,33,True,True,0.6499999761581421,0.6491963661774982
160,100,34,True,True,0.487500011920929,0.7729831144465291
160,100,35,True,True,0.7375000119209291,0.790521978021978
160,100,36,True,True,0.675000011920929,0.7666240409207161
160,100,37,True,True,0.7250000238418579,0.7727864583333333
160,100,38,True,True,0.7624999880790709,0.8253333333333334
160,100,39,True,True,0.75,0.7720634920634921
160,100,40,True,True,0.7375000119209291,0.7418546365914787
160,100,41,True,True,0.6625000238418579,0.6686009026434558
160,100,42,True,True,0.7250000238418579,0.7774851876234364
160,100,43,True,True,0.6875,0.7187301587301588
160,100,44,True,True,0.625,0.7454427083333333
160,100,45,True,True,0.6625000238418579,0.7253333333333334
160,100,46,True,True,0.8125,0.8475783475783476
160,100,47,True,True,0.612500011920929,0.7735352205398288
160,100,48,True,True,0.699999988079071,0.76953125
160,100,49,True,True,0.75,0.8302954116907606
160,100,50,True,True,0.75,0.7775628626692457
200,100,1,True,True,0.7250000238418579,0.7735849056603774
200,100,2,True,True,0.7250000238418579,0.7086894586894588
200,100,3,True,True,0.699999988079071,0.7898412698412698
200,100,4,True,True,0.8000000119209291,0.8206666666666667
200,100,5,True,True,0.8374999761581421,0.8894230769230769
200,100,6,True,True,0.7124999761581421,0.7905982905982906
200,100,7,True,True,0.7250000238418579,0.7749360613810741
200,100,8,True,True,0.6875,0.7593650793650795
200,100,9,True,True,0.675000011920929,0.6336507936507936
200,100,10,True,True,0.7250000238418579,0.792
200,100,11,True,True,0.7624999880790709,0.7109375
200,100,12,True,True,0.6499999761581421,0.7653452685421995
200,100,13,True,True,0.75,0.7458791208791209
200,100,14,True,True,0.75,0.8166666666666667
200,100,15,True,True,0.8125,0.7948717948717949
200,100,16,True,True,0.7875000238418579,0.8267263427109974
200,100,17,True,True,0.7250000238418579,0.8
200,100,18,True,True,0.7124999761581421,0.8020833333333333
200,100,19,True,True,0.7624999880790709,0.7789046653144016
200,100,20,True,True,0.7624999880790709,0.7727920227920229
200,100,21,True,True,0.7124999761581421,0.866166353971232
